geo,Municipio,Año,Porcentaje,Tipo
15664,San José de Pare,2021,99.963339,Permanente
15185,Chitaraque,2021,99.714061,Permanente
15686,Santana,2021,99.211178,Permanente
15816,Togüí,2021,99.274250,Permanente
15469,Moniquirá,2021,98.632077,Permanente
15740,Siachoque,2021,0.059375,Permanente
15861,Ventaquemada,2021,0.738264,Permanente
15632,Saboyá,2021,5.485283,Permanente
15047,Aquitania,2021,1.717862,Permanente
15001,Tunja,2021,0.002406,Permanente
15407,Villa de Leyva,2021,0.486659,Permanente
15814,Toca,2021,1.414375,Permanente
15646,Samacá,2021,0.033133,Permanente
15764,Soracá,2021,0.836818,Permanente
15051,Arcabuco,2021,4.002680,Permanente
15804,Tibaná,2021,89.448104,Permanente
15455,Miraflores,2021,84.237812,Permanente
15442,Maripí,2021,95.684384,Permanente
15212,Coper,2021,97.112695,Permanente
15476,Motavita,2021,0.032950,Permanente
15232,Chíquiza,2021,0.000000,Permanente
15776,Sutamarchán,2021,5.848370,Permanente
15204,Cómbita,2021,14.238170,Permanente
15839,Tutazá,2021,0.783220,Permanente
15842,Úmbita,2021,15.696042,Permanente
15531,Pauna,2021,94.756357,Permanente
15367,Jenesano,2021,41.935606,Permanente
15494,Nuevo Colón,2021,69.567447,Permanente
15763,Sotaquirá,2021,19.684994,Permanente
15835,Turmequé,2021,43.018618,Permanente
15109,Buenavista,2021,86.891880,Permanente
15104,Boyacá,2021,1.771259,Permanente
15696,Santa Sofía,2021,44.093992,Permanente
15806,Tibasosa,2021,1.042834,Permanente
15822,Tota,2021,0.666095,Permanente
15755,Socotá,2021,21.861523,Permanente
15542,Pesca,2021,0.105860,Permanente
15580,Quípama,2021,85.960615,Permanente
15638,Sáchica,2021,0.000000,Permanente
15224,Cucaita,2021,0.426783,Permanente
15832,Tununguá,2021,96.238148,Permanente
15189,Ciénega,2021,35.995847,Permanente
15600,Ráquira,2021,8.569431,Permanente
15087,Belén,2021,0.996126,Permanente
15599,Ramiriquí,2021,31.786359,Permanente
15507,Otanche,2021,98.750817,Permanente
15879,Viracachá,2021,3.777986,Permanente
15368,Jericó,2021,1.059294,Permanente
15480,Muzo,2021,90.687405,Permanente
15759,Sogamoso,2021,0.590080,Permanente
15131,Caldas,2021,7.139731,Permanente
15762,Sora,2021,0.000000,Permanente
15425,Macanal,2021,58.684011,Permanente
15491,Nobsa,2021,1.934073,Permanente
15511,Pachavita,2021,38.337721,Permanente
15293,Gachantivá,2021,65.385618,Permanente
15897,Zetaquira,2021,84.523575,Permanente
15837,Tuta,2021,22.394414,Permanente
15176,Chiquinquirá,2021,11.214757,Permanente
15325,Guayatá,2021,68.060876,Permanente
15218,Covarachía,2021,18.227675,Permanente
15238,Duitama,2021,11.037523,Permanente
15296,Gámeza,2021,0.277592,Permanente
15097,Boavita,2021,68.136878,Permanente
15272,Firavitoba,2021,0.306507,Permanente
15500,Oicatá,2021,27.227061,Permanente
15180,Chiscas,2021,31.667358,Permanente
15380,La Capilla,2021,18.641279,Permanente
15106,Briceño,2021,96.722026,Permanente
15798,Tenza,2021,44.868409,Permanente
15183,Chita,2021,21.022932,Permanente
15774,Susacón,2021,16.303879,Permanente
15681,San Pablo de Borbur,2021,89.251685,Permanente
15516,Paipa,2021,37.470343,Permanente
15377,Labranzagrande,2021,81.039288,Permanente
15572,Puerto Boyacá,2021,55.807993,Permanente
15514,Páez,2021,94.657417,Permanente
15226,Cuítiva,2021,2.583139,Permanente
15660,San Eduardo,2021,96.485575,Permanente
15236,Chivor,2021,95.491791,Permanente
15808,Tinjacá,2021,6.228332,Permanente
15187,Chivatá,2021,0.000000,Permanente
15022,Almeida,2021,81.381760,Permanente
15753,Soatá,2021,55.829562,Permanente
15244,El Cocuy,2021,0.000000,Permanente
15135,Campohermoso,2021,88.622056,Permanente
15673,San Mateo,2021,58.867048,Permanente
15522,Panqueba,2021,5.160411,Permanente
15518,Pajarito,2021,95.549587,Permanente
15693,Santa Rosa de Viterbo,2021,1.377829,Permanente
15820,Tópaga,2021,9.928688,Permanente
15172,Chinavita,2021,81.722165,Permanente
15215,Corrales,2021,8.414193,Permanente
15464,Mongua,2021,4.335424,Permanente
15466,Monguí,2021,1.984082,Permanente
15810,Tipacoque,2021,71.836975,Permanente
15621,Rondón,2021,71.694505,Permanente
15090,Berbeo,2021,61.096747,Permanente
15667,San Luis de Gaceno,2021,22.760288,Permanente
15720,Sativanorte,2021,7.721744,Permanente
15299,Garagoa,2021,67.905784,Permanente
15317,Guacamayas,2021,49.604690,Permanente
15690,Santa María,2021,88.949039,Permanente
15676,San Miguel de Sema,2021,17.549972,Permanente
15778,Sutatenza,2021,36.432577,Permanente
15092,Betéitiva,2021,4.130884,Permanente
15761,Somondoco,2021,60.631549,Permanente
15248,El Espino,2021,19.741627,Permanente
15757,Socha,2021,3.158016,Permanente
15403,La Uvita,2021,15.109324,Permanente
15533,Paya,2021,90.016000,Permanente
15223,Cubará,2021,69.933739,Permanente
15332,GÜICÁN DE LA SIERRA,2021,0.000000,Permanente
15162,Cerinza,2021,1.645978,Permanente
15401,La Victoria,2021,82.657285,Permanente
15790,Tasco,2021,12.621324,Permanente
15322,Guateque,2021,19.725034,Permanente
15550,Pisba,2021,89.249504,Permanente
15537,Paz de Río,2021,2.366933,Permanente
15362,Iza,2021,19.072292,Permanente
15276,Floresta,2021,7.131931,Permanente
15723,Sativasur,2021,4.252605,Permanente
15114,Busbanzá,2021,0.000000,Permanente
15664,San José de Pare,2021,0.036661,Transitorio
15185,Chitaraque,2021,0.285939,Transitorio
15686,Santana,2021,0.788822,Transitorio
15816,Togüí,2021,0.725750,Transitorio
15469,Moniquirá,2021,1.367923,Transitorio
15740,Siachoque,2021,99.940625,Transitorio
15861,Ventaquemada,2021,99.261736,Transitorio
15632,Saboyá,2021,94.514717,Transitorio
15047,Aquitania,2021,98.282138,Transitorio
15001,Tunja,2021,99.997594,Transitorio
15407,Villa de Leyva,2021,99.513341,Transitorio
15814,Toca,2021,98.585625,Transitorio
15646,Samacá,2021,99.966867,Transitorio
15764,Soracá,2021,99.163182,Transitorio
15051,Arcabuco,2021,95.997320,Transitorio
15804,Tibaná,2021,10.551896,Transitorio
15455,Miraflores,2021,15.762188,Transitorio
15442,Maripí,2021,4.315616,Transitorio
15212,Coper,2021,2.887305,Transitorio
15476,Motavita,2021,99.967050,Transitorio
15232,Chíquiza,2021,100.000000,Transitorio
15776,Sutamarchán,2021,94.151630,Transitorio
15204,Cómbita,2021,85.761830,Transitorio
15839,Tutazá,2021,99.216780,Transitorio
15842,Úmbita,2021,84.303958,Transitorio
15531,Pauna,2021,5.243643,Transitorio
15367,Jenesano,2021,58.064394,Transitorio
15494,Nuevo Colón,2021,30.432553,Transitorio
15763,Sotaquirá,2021,80.315006,Transitorio
15835,Turmequé,2021,56.981382,Transitorio
15109,Buenavista,2021,13.108120,Transitorio
15104,Boyacá,2021,98.228741,Transitorio
15696,Santa Sofía,2021,55.906008,Transitorio
15806,Tibasosa,2021,98.957166,Transitorio
15822,Tota,2021,99.333905,Transitorio
15755,Socotá,2021,78.138477,Transitorio
15542,Pesca,2021,99.894140,Transitorio
15580,Quípama,2021,14.039385,Transitorio
15638,Sáchica,2021,100.000000,Transitorio
15224,Cucaita,2021,99.573217,Transitorio
15832,Tununguá,2021,3.761852,Transitorio
15189,Ciénega,2021,64.004153,Transitorio
15600,Ráquira,2021,91.430569,Transitorio
15087,Belén,2021,99.003874,Transitorio
15599,Ramiriquí,2021,68.213641,Transitorio
15507,Otanche,2021,1.249183,Transitorio
15879,Viracachá,2021,96.222014,Transitorio
15368,Jericó,2021,98.940706,Transitorio
15480,Muzo,2021,9.312595,Transitorio
15759,Sogamoso,2021,99.409920,Transitorio
15131,Caldas,2021,92.860269,Transitorio
15762,Sora,2021,100.000000,Transitorio
15425,Macanal,2021,41.315989,Transitorio
15491,Nobsa,2021,98.065927,Transitorio
15511,Pachavita,2021,61.662279,Transitorio
15293,Gachantivá,2021,34.614382,Transitorio
15897,Zetaquira,2021,15.476425,Transitorio
15837,Tuta,2021,77.605586,Transitorio
15176,Chiquinquirá,2021,88.785243,Transitorio
15325,Guayatá,2021,31.939124,Transitorio
15218,Covarachía,2021,81.772325,Transitorio
15238,Duitama,2021,88.962477,Transitorio
15296,Gámeza,2021,99.722408,Transitorio
15097,Boavita,2021,31.863122,Transitorio
15272,Firavitoba,2021,99.693493,Transitorio
15500,Oicatá,2021,72.772939,Transitorio
15180,Chiscas,2021,68.332642,Transitorio
15380,La Capilla,2021,81.358721,Transitorio
15106,Briceño,2021,3.277974,Transitorio
15798,Tenza,2021,55.131591,Transitorio
15183,Chita,2021,78.977068,Transitorio
15774,Susacón,2021,83.696121,Transitorio
15681,San Pablo de Borbur,2021,10.748315,Transitorio
15516,Paipa,2021,62.529657,Transitorio
15377,Labranzagrande,2021,18.960712,Transitorio
15572,Puerto Boyacá,2021,44.192007,Transitorio
15514,Páez,2021,5.342583,Transitorio
15226,Cuítiva,2021,97.416861,Transitorio
15660,San Eduardo,2021,3.514425,Transitorio
15236,Chivor,2021,4.508209,Transitorio
15808,Tinjacá,2021,93.771668,Transitorio
15187,Chivatá,2021,100.000000,Transitorio
15022,Almeida,2021,18.618240,Transitorio
15753,Soatá,2021,44.170438,Transitorio
15244,El Cocuy,2021,100.000000,Transitorio
15135,Campohermoso,2021,11.377944,Transitorio
15673,San Mateo,2021,41.132952,Transitorio
15522,Panqueba,2021,94.839589,Transitorio
15518,Pajarito,2021,4.450413,Transitorio
15693,Santa Rosa de Viterbo,2021,98.622171,Transitorio
15820,Tópaga,2021,90.071312,Transitorio
15172,Chinavita,2021,18.277835,Transitorio
15215,Corrales,2021,91.585807,Transitorio
15464,Mongua,2021,95.664576,Transitorio
15466,Monguí,2021,98.015918,Transitorio
15810,Tipacoque,2021,28.163025,Transitorio
15621,Rondón,2021,28.305495,Transitorio
15090,Berbeo,2021,38.903253,Transitorio
15667,San Luis de Gaceno,2021,77.239712,Transitorio
15720,Sativanorte,2021,92.278256,Transitorio
15299,Garagoa,2021,32.094216,Transitorio
15317,Guacamayas,2021,50.395310,Transitorio
15690,Santa María,2021,11.050961,Transitorio
15676,San Miguel de Sema,2021,82.450028,Transitorio
15778,Sutatenza,2021,63.567423,Transitorio
15092,Betéitiva,2021,95.869116,Transitorio
15761,Somondoco,2021,39.368451,Transitorio
15248,El Espino,2021,80.258373,Transitorio
15757,Socha,2021,96.841984,Transitorio
15403,La Uvita,2021,84.890676,Transitorio
15533,Paya,2021,9.984000,Transitorio
15223,Cubará,2021,30.066261,Transitorio
15332,GÜICÁN DE LA SIERRA,2021,100.000000,Transitorio
15162,Cerinza,2021,98.354022,Transitorio
15401,La Victoria,2021,17.342715,Transitorio
15790,Tasco,2021,87.378676,Transitorio
15322,Guateque,2021,80.274966,Transitorio
15550,Pisba,2021,10.750496,Transitorio
15537,Paz de Río,2021,97.633067,Transitorio
15362,Iza,2021,80.927708,Transitorio
15276,Floresta,2021,92.868069,Transitorio
15723,Sativasur,2021,95.747395,Transitorio
15114,Busbanzá,2021,100.000000,Transitorio
15664,San José de Pare,2020,99.930049,Permanente
15185,Chitaraque,2020,99.703799,Permanente
15686,Santana,2020,99.168259,Permanente
15816,Togüí,2020,99.188828,Permanente
15469,Moniquirá,2020,97.247278,Permanente
15740,Siachoque,2020,0.066439,Permanente
15861,Ventaquemada,2020,1.350683,Permanente
15632,Saboyá,2020,8.176793,Permanente
15047,Aquitania,2020,0.179487,Permanente
15001,Tunja,2020,0.023707,Permanente
15407,Villa de Leyva,2020,0.246177,Permanente
15814,Toca,2020,1.432913,Permanente
15646,Samacá,2020,0.006471,Permanente
15764,Soracá,2020,1.310130,Permanente
15051,Arcabuco,2020,4.179254,Permanente
15804,Tibaná,2020,85.888552,Permanente
15455,Miraflores,2020,84.645296,Permanente
15442,Maripí,2020,86.499817,Permanente
15212,Coper,2020,93.656218,Permanente
15476,Motavita,2020,0.036987,Permanente
15232,Chíquiza,2020,0.000000,Permanente
15776,Sutamarchán,2020,16.547606,Permanente
15204,Cómbita,2020,7.398981,Permanente
15839,Tutazá,2020,0.195478,Permanente
15842,Úmbita,2020,13.936493,Permanente
15531,Pauna,2020,96.146153,Permanente
15367,Jenesano,2020,42.606793,Permanente
15494,Nuevo Colón,2020,71.092806,Permanente
15763,Sotaquirá,2020,37.452414,Permanente
15835,Turmequé,2020,33.485640,Permanente
15109,Buenavista,2020,83.684545,Permanente
15104,Boyacá,2020,1.626450,Permanente
15696,Santa Sofía,2020,42.145198,Permanente
15806,Tibasosa,2020,1.305596,Permanente
15822,Tota,2020,0.575801,Permanente
15755,Socotá,2020,25.555166,Permanente
15542,Pesca,2020,0.078946,Permanente
15580,Quípama,2020,80.474572,Permanente
15638,Sáchica,2020,0.000000,Permanente
15224,Cucaita,2020,0.077618,Permanente
15832,Tununguá,2020,95.596796,Permanente
15189,Ciénega,2020,40.699937,Permanente
15600,Ráquira,2020,6.244539,Permanente
15087,Belén,2020,1.427907,Permanente
15599,Ramiriquí,2020,25.416115,Permanente
15507,Otanche,2020,88.244807,Permanente
15879,Viracachá,2020,5.895315,Permanente
15368,Jericó,2020,0.815999,Permanente
15480,Muzo,2020,88.713425,Permanente
15759,Sogamoso,2020,0.670509,Permanente
15131,Caldas,2020,7.597896,Permanente
15762,Sora,2020,0.000000,Permanente
15425,Macanal,2020,85.460302,Permanente
15491,Nobsa,2020,2.396119,Permanente
15511,Pachavita,2020,31.715882,Permanente
15293,Gachantivá,2020,53.594606,Permanente
15897,Zetaquira,2020,90.563166,Permanente
15837,Tuta,2020,20.085052,Permanente
15176,Chiquinquirá,2020,11.386928,Permanente
15325,Guayatá,2020,48.194586,Permanente
15218,Covarachía,2020,24.760508,Permanente
15238,Duitama,2020,11.038539,Permanente
15296,Gámeza,2020,0.293158,Permanente
15097,Boavita,2020,71.957516,Permanente
15272,Firavitoba,2020,0.776870,Permanente
15500,Oicatá,2020,21.703857,Permanente
15180,Chiscas,2020,33.820061,Permanente
15380,La Capilla,2020,17.766048,Permanente
15106,Briceño,2020,98.657101,Permanente
15798,Tenza,2020,8.433555,Permanente
15183,Chita,2020,8.018012,Permanente
15774,Susacón,2020,16.746009,Permanente
15681,San Pablo de Borbur,2020,83.723903,Permanente
15516,Paipa,2020,32.681508,Permanente
15377,Labranzagrande,2020,85.205114,Permanente
15572,Puerto Boyacá,2020,43.776154,Permanente
15514,Páez,2020,80.763486,Permanente
15226,Cuítiva,2020,2.424571,Permanente
15660,San Eduardo,2020,95.015642,Permanente
15236,Chivor,2020,94.491664,Permanente
15808,Tinjacá,2020,10.162343,Permanente
15187,Chivatá,2020,0.546491,Permanente
15022,Almeida,2020,80.302597,Permanente
15753,Soatá,2020,52.020316,Permanente
15244,El Cocuy,2020,0.000000,Permanente
15135,Campohermoso,2020,68.123343,Permanente
15673,San Mateo,2020,75.069154,Permanente
15522,Panqueba,2020,9.138316,Permanente
15518,Pajarito,2020,87.742916,Permanente
15693,Santa Rosa de Viterbo,2020,0.618379,Permanente
15820,Tópaga,2020,0.000000,Permanente
15172,Chinavita,2020,83.952291,Permanente
15215,Corrales,2020,7.066813,Permanente
15464,Mongua,2020,0.343151,Permanente
15466,Monguí,2020,2.714713,Permanente
15810,Tipacoque,2020,41.481790,Permanente
15621,Rondón,2020,73.369186,Permanente
15090,Berbeo,2020,63.434456,Permanente
15667,San Luis de Gaceno,2020,14.626391,Permanente
15720,Sativanorte,2020,20.499322,Permanente
15299,Garagoa,2020,68.298026,Permanente
15317,Guacamayas,2020,53.076760,Permanente
15690,Santa María,2020,65.315428,Permanente
15676,San Miguel de Sema,2020,11.561550,Permanente
15778,Sutatenza,2020,40.219329,Permanente
15092,Betéitiva,2020,3.145536,Permanente
15761,Somondoco,2020,57.543911,Permanente
15248,El Espino,2020,22.906116,Permanente
15757,Socha,2020,0.235479,Permanente
15403,La Uvita,2020,28.006817,Permanente
15533,Paya,2020,64.266294,Permanente
15223,Cubará,2020,73.413617,Permanente
15332,GÜICÁN DE LA SIERRA,2020,0.000000,Permanente
15162,Cerinza,2020,6.876252,Permanente
15401,La Victoria,2020,61.219966,Permanente
15790,Tasco,2020,4.633384,Permanente
15322,Guateque,2020,9.318351,Permanente
15550,Pisba,2020,75.686478,Permanente
15537,Paz de Río,2020,1.478510,Permanente
15362,Iza,2020,21.128966,Permanente
15276,Floresta,2020,2.795971,Permanente
15723,Sativasur,2020,0.000000,Permanente
15114,Busbanzá,2020,0.000000,Permanente
15664,San José de Pare,2020,0.069951,Transitorio
