geo,continuidad
15022,24
15047,19
15051,22
15087,24
15090,19
15092,9
15097,24
15104,23
15106,23
15109,24
15114,24
15131,12
15135,24
15162,24
15172,20
15176,19
15232,24
15180,23
15183,21
15185,24
15187,20
15236,21
15189,24
15204,20
15212,20
15215,17
15218,24
15223,20
15224,12
15238,24
15226,24
15244,24
15248,24
15272,23
15276,23
15293,24
15296,19
15299,23
15317,21
15322,22
15325,20
15332,19
15362,24
15367,22
15368,19
15380,24
15403,24
15401,24
15377,24
15425,22
15442,21
15455,24
15464,23
15466,22
15469,21
15476,19
15480,22
15491,24
15494,24
15500,24
15507,24
15511,20
15514,24
15516,24
15518,24
15522,21
15531,24
15533,23
15537,24
15542,24
15550,24
15572,22
15580,23
15599,21
15600,24
15621,24
15632,24
15638,12
15646,23
15660,22
15664,23
15667,24
15673,23
15676,24
15681,21
15690,20
15693,22
15696,24
15686,19
15720,19
15723,20
15740,24
15753,24
15757,22
15755,20
15759,24
15761,22
15762,24
15764,17
15763,19
15774,20
15776,22
15778,19
15790,21
15798,20
15804,24
15806,21
15808,24
15810,21
15814,24
15816,22
15820,19
15822,22
15001,24
15832,23
15835,24
15837,24
15839,24
15842,21
15861,24
15407,19
15879,20
15897,22